Land_size_for_Crop_Agriculture_Acres,hh_size,hhh_age,number_perennial_grown,HH Income + Production/Day  (USD),business_number,composts,water_control_practise,postharvest_food_storage,hhh_read_write,Material_walls,bicycle_owned,seasonal_crops_planted,grow_vegetables,season2_crops_planted,work_casual,radios_owned,non_bio_waste_mgt_method,save_mode_7,tippy_tap_present,soil_mgt_methods,hh_produce_lq_manure,Access to electricity,ProgressStatus
1.0,6.0,55.0,1.0,0.3265457238059978,0,0,0,0,1,1,0,2.0,0,1.0,1,0,97,0,0.0,-99,0,1,Struggling
1.4,1.0,80.0,0.0,0.3979266938171047,0,0,0,0,0,1,0,3.0,1,3.0,0,1,97,0,1.0,1 2,0,0,Struggling
1.5,5.0,38.0,4.0,0.5286930766382821,0,0,1,0,1,1,0,2.0,1,2.0,0,1,2,0,1.0,1 2,0,0,Struggling
0.5,3.0,55.0,1.0,0.5997778600518326,0,0,0,0,0,1,0,1.0,0,1.0,1,1,2,0,0.0,1,0,0,Struggling
0.3,5.0,50.0,2.0,0.6634579785264716,0,0,1,1,0,1,0,3.0,1,2.0,0,0,1 2,0,0.0,1 2 3,0,1,Struggling
0.4,5.0,29.0,2.0,0.7366160681229174,0,0,1,1,1,1,0,3.0,1,1.0,1,1,2,0,0.0,1 2 3 4,0,1,Struggling
1.5,4.0,25.0,0.0,0.562754535357275,0,0,1,1,1,1,1,2.0,1,2.0,1,0,2,0,0.0,1 2 3,0,1,Struggling
0.8,7.0,46.0,4.0,0.7619400222139948,1,0,1,1,1,1,0,3.0,1,2.0,0,0,3,0,0.0,1 2,0,1,Struggling
2.0,2.0,75.0,2.0,0.7441695668271011,0,0,1,1,0,1,0,2.0,1,3.0,0,0,2,0,0.0,1 2 4,0,0,Struggling
0.4,5.0,35.0,2.0,0.8100703443169196,0,0,1,1,1,1,0,2.0,0,2.0,1,0,97,0,0.0,1 2,0,1,Struggling
0.5,3.0,42.0,1.0,0.6460570159200296,0,0,1,1,0,2,0,3.0,1,2.0,1,1,1,0,1.0,1 2 3 4 5,0,1,Struggling
0.0,3.0,46.0,0.0,0.8537578674564976,1,0,1,0,1,1,0,2.0,0,2.0,1,0,3,0,0.0,1 2 4,0,1,Struggling
1.7,6.0,70.0,0.0,0.8589411329137357,0,0,0,0,0,2,0,2.0,0,2.0,0,0,1,0,0.0,1 2,0,0,Struggling
0.5,4.0,26.0,1.0,0.6468715290633099,0,0,0,1,1,1,0,2.0,0,2.0,0,0,1,0,0.0,1 2 5,1,1,Struggling
0.5,3.0,30.0,2.0,0.8696778970751574,0,0,1,0,1,1,0,2.0,0,4.0,1,1,2,0,0.0,2 4 5,0,1,Struggling
0.75,3.0,70.0,3.0,0.9192891521658644,0,0,1,1,1,1,0,4.0,1,3.0,0,0,2 3,0,1.0,1 2 3 4 5,0,0,Struggling
0.7,8.0,38.0,2.0,0.9237319511292116,0,0,1,0,1,1,0,4.0,1,4.0,1,0,3 97,0,0.0,1 2 3,0,1,Struggling
0.5,3.0,82.0,2.0,0.9396519807478712,0,0,0,1,0,1,0,3.0,1,3.0,1,0,97,0,0.0,1 2 3 5,0,1,Struggling
0.8,4.0,32.0,1.0,0.9707515734912996,0,0,0,1,1,1,0,3.0,0,4.0,0,1,1,0,1.0,2,0,0,Struggling
0.3,2.0,75.0,3.0,0.7637911884487227,0,0,0,1,0,1,0,2.0,1,3.0,0,0,97,0,1.0,1 2 3 4,0,1,Struggling
2.0,2.0,86.0,2.0,0.9855609033691224,0,0,1,1,1,2,0,2.0,1,2.0,0,1,3,0,0.0,1 3 4,0,1,Struggling
0.8,5.0,29.0,1.0,1.0259163272861902,0,0,0,1,1,1,0,3.0,1,3.0,1,0,1,0,0.0,2,0,1,Struggling
1.0,1.0,65.0,2.0,1.0408737504627914,0,0,0,1,0,1,0,2.0,0,1.0,0,0,1,0,1.0,2,0,1,Struggling
1.75,5.0,48.0,1.0,1.055164753794891,0,0,0,0,1,2,0,3.0,0,2.0,0,1,1,0,0.0,1 2 3 4,0,1,Struggling
2.8,3.0,89.0,1.0,1.0573861532765645,0,0,1,1,1,1,0,3.0,0,3.0,0,0,2,0,0.0,1 2 3 4,0,1,Struggling
0.8,4.0,67.0,2.0,0.9681599407626804,0,0,0,1,0,1,0,3.0,1,2.0,0,1,3,0,0.0,1 2 3,0,0,Struggling
0.4,5.0,29.0,1.0,1.0884857460199926,0,0,1,0,1,1,0,1.0,1,1.0,1,0,3,0,1.0,1 2 3,0,1,Struggling
0.125,2.0,56.0,3.0,1.1240281377267678,0,1,1,1,0,1,0,4.0,1,3.0,1,0,2 3,0,0.0,1 2 3 4 5,0,1,Struggling
2.7,2.0,27.0,1.0,1.1329137356534615,0,0,0,1,1,1,1,2.0,0,2.0,0,1,3,0,1.0,1 2,0,1,Struggling
0.8,2.0,47.0,2.0,1.1336542021473528,0,0,0,1,1,1,0,3.0,1,2.0,1,0,3,0,0.0,1 2 3 4,0,1,Struggling
0.75,5.0,35.0,3.0,1.136245834875972,0,0,1,1,0,1,0,3.0,1,4.0,1,1,2 3,0,1.0,1 2 3 4 5,0,1,Struggling
0.75,4.0,81.0,4.0,1.1521658644946315,0,0,1,1,0,1,0,4.0,1,4.0,1,0,2 3,0,1.0,1 2 3 4 5,0,0,Struggling
1.0,4.0,40.0,3.0,1.1720844131803034,0,0,1,1,1,1,1,4.0,0,2.0,0,1,3,0,0.0,1 2 3 4 5,0,0,Struggling
1.0,4.0,64.0,1.0,1.186227323213625,0,0,0,1,1,1,0,1.0,0,3.0,0,1,1,0,0.0,1 3 5,0,0,Struggling
1.0,6.0,50.0,1.0,1.147723065531285,0,0,1,1,1,2,0,2.0,1,2.0,1,1,3,0,0.0,1 2 3 4 5,0,0,Struggling
0.875,5.0,55.0,1.0,1.204368752313958,0,0,0,0,1,1,0,4.0,1,3.0,1,0,1,0,0.0,2,0,1,Struggling
0.5,6.0,65.0,2.0,0.975564605701592,0,1,1,1,0,1,0,3.0,1,2.0,0,1,97,0,0.0,1 2 3 4,0,1,Struggling
0.5,6.0,38.0,2.0,1.2413180303591262,0,0,0,0,1,1,0,2.0,1,2.0,1,1,97,0,0.0,2,0,1,Struggling
0.75,2.0,85.0,1.0,1.0403554239170678,0,0,0,0,0,1,0,3.0,1,2.0,0,0,2 3,0,0.0,1 2 3 4 5,0,0,Struggling
1.0,5.0,50.0,2.0,0.5504627915586819,0,1,0,1,1,1,0,2.0,0,3.0,0,1,1,0,1.0,1 2 5,0,0,Struggling
1.0,4.0,28.0,1.0,1.3469085523880044,0,0,0,1,1,1,0,2.0,0,2.0,0,0,3,0,0.0,4,0,1,Struggling
1.4,3.0,30.0,2.0,1.378748611625324,0,0,1,0,1,1,0,4.0,1,3.0,1,0,1,0,0.0,2 3,0,1,Struggling
